Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R22        RES_0805          1297.244mil    911.417mil   1297.244mil    911.417mil   1297.244mil    874.016mil  T         90.00 54.9           
R23        RES_0805          1824.803mil    911.417mil   1824.803mil    911.417mil   1824.803mil    874.016mil  T         90.00 54.9           
R24        RES_0805          1277.559mil    427.165mil   1277.559mil    427.165mil   1277.559mil    389.764mil  T         90.00 374            
R25        RES_0805          1805.118mil    427.165mil   1805.118mil    427.165mil   1805.118mil    389.764mil  T         90.00 374            
R26        RES_0805          1088.583mil    759.842mil   1088.583mil    759.842mil   1088.583mil    797.244mil  T        270.00 10K            
R27        RES_0805           1618.11mil    759.842mil    1618.11mil    759.842mil    1618.11mil    797.244mil  T        270.00 10K            
R28        RES_0805          1177.165mil    427.165mil   1177.165mil    427.165mil   1177.165mil    389.764mil  T         90.00 1K             
R29        RES_0805          1704.724mil    427.165mil   1704.724mil    427.165mil   1704.724mil    389.764mil  T         90.00 1K             
R30        RES_0603          1096.457mil    570.866mil   1096.457mil    570.866mil   1096.457mil    600.394mil  T        270.00 100K           
R31        RES_0603          1625.984mil    570.866mil   1625.984mil    570.866mil   1625.984mil    600.394mil  T        270.00 100K           
R32        RES_0805          2251.968mil    911.417mil   2251.968mil    911.417mil   2251.968mil    874.016mil  T         90.00 5.6k           
R33        RES_0805          2781.496mil    911.417mil   2781.496mil    911.417mil   2781.496mil    874.016mil  T         90.00 5.6k           
R34        RES_0805          2356.299mil    911.417mil   2356.299mil    911.417mil   2356.299mil    874.016mil  T         90.00 54.9           
R35        RES_0805          2885.827mil    911.417mil   2885.827mil    911.417mil   2885.827mil    874.016mil  T         90.00 54.9           
R36        RES_0805          2336.614mil    427.165mil   2336.614mil    427.165mil   2336.614mil    389.764mil  T         90.00 374            
R37        RES_0805          2866.142mil    427.165mil   2866.142mil    427.165mil   2866.142mil    389.764mil  T         90.00 374            
R38        RES_0805          2147.638mil    759.842mil   2147.638mil    759.842mil   2147.638mil    797.244mil  T        270.00 10K            
R39        RES_0805          2679.134mil    759.842mil   2679.134mil    759.842mil   2679.134mil    797.244mil  T        270.00 10K            
R40        RES_0805           2236.22mil    427.165mil    2236.22mil    427.165mil    2236.22mil    389.764mil  T         90.00 1K             
R41        RES_0805          2765.748mil    427.165mil   2765.748mil    427.165mil   2765.748mil    389.764mil  T         90.00 1K             
R42        RES_0603          2155.512mil    570.866mil   2155.512mil    570.866mil   2155.512mil    600.394mil  T        270.00 100K           
R43        RES_0603          2687.008mil    570.866mil   2687.008mil    570.866mil   2687.008mil    600.394mil  T        270.00 100K           
R44        RES_0805          3314.961mil    911.417mil   3314.961mil    911.417mil   3314.961mil    874.016mil  T         90.00 5.6k           
R45        RES_0805           3842.52mil    913.386mil    3842.52mil    913.386mil    3842.52mil    875.984mil  T         90.00 5.6k           
R46        RES_0805          3419.291mil    911.417mil   3419.291mil    911.417mil   3419.291mil    874.016mil  T         90.00 54.9           
R47        RES_0805           3946.85mil    913.386mil    3946.85mil    913.386mil    3946.85mil    875.984mil  T         90.00 54.9           
R48        RES_0805          3401.575mil    427.165mil   3401.575mil    427.165mil   3401.575mil    389.764mil  T         90.00 374            
R49        RES_0805          3931.102mil    427.165mil   3931.102mil    427.165mil   3931.102mil    389.764mil  T         90.00 374            
R50        RES_0805          3212.598mil    759.842mil   3212.598mil    759.842mil   3212.598mil    797.244mil  T        270.00 10K            
R51        RES_0805          3740.157mil    759.842mil   3740.157mil    759.842mil   3740.157mil    797.244mil  T        270.00 10K            
R52        RES_0805          3301.181mil    427.165mil   3301.181mil    427.165mil   3301.181mil    389.764mil  T         90.00 1K             
R53        RES_0805          3830.709mil    427.165mil   3830.709mil    427.165mil   3830.709mil    389.764mil  T         90.00 1K             
R54        RES_0603          3220.472mil    570.866mil   3220.472mil    570.866mil   3220.472mil    600.394mil  T        270.00 100K           
R55        RES_0603          3748.032mil    570.866mil   3748.032mil    570.866mil   3748.032mil    600.394mil  T        270.00 100K           
R56        RES_0805          4372.047mil    911.417mil   4372.047mil    911.417mil   4372.047mil    874.016mil  T         90.00 5.6k           
R57        RES_0805           4907.48mil    911.417mil    4907.48mil    911.417mil    4907.48mil    874.016mil  T         90.00 5.6k           
R58        RES_0805          4476.378mil    911.417mil   4476.378mil    911.417mil   4476.378mil    874.016mil  T         90.00 54.9           
R59        RES_0805          5011.811mil    911.417mil   5011.811mil    911.417mil   5011.811mil    874.016mil  T         90.00 54.9           
R60        RES_0805           4460.63mil    427.165mil    4460.63mil    427.165mil    4460.63mil    389.764mil  T         90.00 374            
R61        RES_0805          4996.063mil    427.165mil   4996.063mil    427.165mil   4996.063mil    389.764mil  T         90.00 374            
R62        RES_0805          4269.685mil    759.842mil   4269.685mil    759.842mil   4269.685mil    797.244mil  T        270.00 10K            
R63        RES_0805          4805.118mil    759.842mil   4805.118mil    759.842mil   4805.118mil    797.244mil  T        270.00 10K            
R64        RES_0805          4360.236mil    427.165mil   4360.236mil    427.165mil   4360.236mil    389.764mil  T         90.00 1K             
R65        RES_0805          4895.669mil    427.165mil   4895.669mil    427.165mil   4895.669mil    389.764mil  T         90.00 1K             
R66        RES_0603          4277.559mil    570.866mil   4277.559mil    570.866mil   4277.559mil    600.394mil  T        270.00 100K           
R67        RES_0603          4812.992mil    570.866mil   4812.992mil    570.866mil   4812.992mil    600.394mil  T        270.00 100K           
R68        RES_0805          5220.472mil    614.173mil   5220.472mil    614.173mil   5220.472mil    576.772mil  T         90.00 1K             
R69        RES_0805          5220.472mil    769.685mil   5220.472mil    769.685mil   5220.472mil    732.284mil  T         90.00 1K             
R70        RES_0805          5232.283mil   1188.976mil   5232.283mil   1188.976mil   5232.283mil   1226.378mil  T        270.00 10K            
S2         TAC-SW             1671.26mil   1462.598mil    1671.26mil   1462.598mil   1852.165mil   1462.598mil  T        180.00 TAC SW         
U1         XBEE_PRO_S1        764.961mil   1794.705mil    114.173mil    1789.37mil     410.63mil   1361.634mil  T         90.00 XBEE PRO S1    
U2         ESP32-WROOM-32D   4832.283mil   2759.843mil   4468.504mil   3114.173mil   5177.165mil   3094.488mil  T        270.00 ESP32-WROOM-32D (8MB)
U3         SOIC-8            3346.457mil   2669.291mil   3346.457mil   2669.291mil   3248.032mil   2744.291mil  T        360.00 2M EEPROM      
U4         LQFP64            2771.654mil   2114.173mil   2771.653mil   2114.173mil   2533.465mil   2261.811mil  T          0.00 STM32F072R8T6TR
U5         SOIC-6            1232.284mil    669.291mil   1232.284mil    669.291mil   1182.284mil    551.181mil  T         90.00 NPN 3.75KV     
U6         SOIC-6            1759.842mil    669.291mil   1759.842mil    669.291mil   1709.842mil    551.181mil  T         90.00 NPN 3.75KV     
