Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

D13        PLCC2                  60.6mm        77.8mm        60.6mm        77.8mm        60.6mm        76.3mm  T         90.00 LED            
D12        PLCC2                  60.6mm        69.7mm        60.6mm        69.7mm        60.6mm        68.2mm  T         90.00 LED            
D11        PLCC2                  38.8mm        85.9mm        38.8mm        85.9mm        38.8mm        84.4mm  T         90.00 LED            
D10        PLCC2                  38.8mm        77.8mm        38.8mm        77.8mm        38.8mm        76.3mm  T         90.00 LED            
D9         PLCC2                  38.8mm        69.7mm        38.8mm        69.7mm        38.8mm        68.2mm  T         90.00 LED            
D8         PLCC2                  16.9mm        85.9mm        16.9mm        85.9mm        16.9mm        84.4mm  T         90.00 LED            
D7         PLCC2                  16.9mm        77.8mm        16.9mm        77.8mm        16.9mm        76.3mm  T         90.00 LED            
D6         PLCC2                  16.9mm        69.7mm        16.9mm        69.7mm        16.9mm        68.2mm  T         90.00 LED            
D5         SOT23-3                44.8mm        11.1mm        44.8mm        11.1mm       46.05mm       10.13mm  T        180.00 TVS            
D4         PLCC2                     5mm        27.4mm           5mm        27.4mm         6.5mm        27.4mm  T        180.00 2V2 RED LED    
D3         PLCC2                     5mm        22.6mm           5mm        22.6mm         6.5mm        22.6mm  T        180.00 2V2 RED LED    
D1         SOT-23_(TO-236)        24.7mm       17.35mm        23.7mm        18.3mm        23.7mm        18.3mm  T        270.00 12V            
C27        C0805                  75.8mm      45.075mm        75.8mm      45.075mm       76.75mm      45.075mm  T        180.00 4.7uF          
C26        C0805                90.175mm        39.2mm      90.175mm        39.2mm      90.175mm       38.25mm  T         90.00 4.7uF          
C25        C0805                  69.4mm        30.8mm        69.4mm        30.8mm        69.4mm       31.75mm  T        270.00 10nF           
C24        C0603                    90mm        31.3mm          90mm        31.3mm          90mm        30.7mm  T         90.00 1uF            
C23        C0603                87.625mm        31.3mm      87.625mm        31.3mm      87.625mm        30.7mm  T         90.00 100nF          
C22        C0603                 87.65mm        38.6mm       87.65mm        38.6mm       87.65mm          38mm  T         90.00 100nF          
C21        C0603                  75.8mm      42.625mm        75.8mm      42.625mm        76.4mm      42.625mm  T        180.00 100nF          
C20        C0603                71.775mm        30.8mm      71.775mm        30.8mm      71.775mm        31.4mm  T        270.00 100nF          
C19        C0603                  25.1mm        25.9mm        25.1mm        25.9mm        25.7mm        25.9mm  T        180.00 100nF 35V      
C18        C0603                  80.8mm        16.8mm        80.8mm        16.8mm        80.2mm        16.8mm  T        360.00 22pF           
C17        C0603                  74.8mm        16.8mm        74.8mm        16.8mm        75.4mm        16.8mm  T        180.00 22pF           
C16        C0603                  37.1mm        93.7mm        37.1mm        93.7mm        37.7mm        93.7mm  T        180.00 100nF          
C15        C0603                  27.6mm        93.8mm        27.6mm        93.8mm        28.2mm        93.8mm  T        180.00 100nF          
C14        C0603                  86.2mm        20.7mm        86.2mm        20.7mm        86.2mm        20.1mm  T         90.00 4.7pF          
C13        C0603                  93.5mm        20.7mm        93.5mm        20.7mm        93.5mm        20.1mm  T         90.00 4.7pF          
C12        C0805                  51.4mm         3.6mm        51.4mm         3.6mm        51.4mm        2.65mm  T         90.00 100pF          
C11        C0805                  65.3mm         6.1mm        65.3mm         6.1mm        65.3mm        7.05mm  T        270.00 10uF           
C10        C0805                    68mm         6.1mm          68mm         6.1mm          68mm        7.05mm  T        270.00 100pF          
